@RELATION submissions

@ATTRIBUTE file STRING
@ATTRIBUTE predicted_label NUMERIC

@DATA
article_0000/1.txt,1
article_0000/2.txt,1
article_0001/1.txt,1
article_0001/2.txt,1
article_0002/1.txt,1
article_0002/2.txt,1
article_0003/1.txt,1
article_0003/2.txt,1
article_0004/1.txt,0
article_0004/2.txt,1
article_0005/1.txt,1
article_0005/2.txt,1
article_0006/1.txt,1
article_0006/2.txt,1
article_0007/1.txt,1
article_0007/2.txt,1
article_0008/1.txt,0
article_0008/2.txt,1
article_0009/1.txt,1
article_0009/2.txt,1
article_0010/1.txt,1
article_0010/2.txt,1
article_0011/1.txt,1
article_0011/2.txt,1
article_0012/1.txt,1
article_0012/2.txt,1
article_0013/1.txt,1
article_0013/2.txt,0
article_0014/1.txt,1
article_0014/2.txt,1
article_0015/1.txt,1
article_0015/2.txt,1
article_0016/1.txt,1
article_0016/2.txt,1
article_0017/1.txt,0
article_0017/2.txt,1
article_0018/1.txt,1
article_0018/2.txt,1
article_0019/1.txt,1
article_0019/2.txt,1
article_0020/1.txt,1
article_0020/2.txt,1
article_0021/1.txt,1
article_0021/2.txt,0
article_0022/1.txt,1
article_0022/2.txt,1
article_0023/1.txt,1
article_0023/2.txt,1
article_0024/1.txt,0
article_0024/2.txt,1
article_0025/1.txt,1
article_0025/2.txt,1
article_0026/1.txt,0
article_0026/2.txt,1
article_0027/1.txt,1
article_0027/2.txt,1
article_0028/1.txt,1
article_0028/2.txt,1
article_0029/1.txt,0
article_0029/2.txt,1
article_0030/1.txt,0
article_0030/2.txt,1
article_0031/1.txt,1
article_0031/2.txt,1
article_0032/1.txt,1
article_0032/2.txt,1
article_0033/1.txt,1
article_0033/2.txt,1
article_0034/1.txt,1
article_0034/2.txt,0
article_0035/1.txt,1
article_0035/2.txt,1
article_0036/1.txt,1
article_0036/2.txt,1
article_0037/1.txt,1
article_0037/2.txt,1
article_0038/1.txt,1
article_0038/2.txt,1
article_0039/1.txt,1
article_0039/2.txt,1
article_0040/1.txt,0
article_0040/2.txt,1
article_0041/1.txt,1
article_0041/2.txt,1
article_0042/1.txt,0
article_0042/2.txt,1
article_0043/1.txt,1
article_0043/2.txt,1
article_0044/1.txt,1
article_0044/2.txt,1
article_0045/1.txt,1
article_0045/2.txt,1
article_0046/1.txt,1
article_0046/2.txt,0
article_0047/1.txt,1
article_0047/2.txt,0
article_0048/1.txt,1
article_0048/2.txt,1
article_0049/1.txt,1
article_0049/2.txt,1
article_0050/1.txt,1
article_0050/2.txt,1
article_0051/1.txt,1
article_0051/2.txt,1
article_0052/1.txt,1
article_0052/2.txt,1
article_0053/1.txt,1
article_0053/2.txt,1
article_0054/1.txt,1
article_0054/2.txt,0
article_0055/1.txt,1
article_0055/2.txt,1
article_0056/1.txt,1
article_0056/2.txt,1
article_0057/1.txt,1
article_0057/2.txt,1
article_0058/1.txt,1
article_0058/2.txt,1
article_0059/1.txt,1
article_0059/2.txt,1
article_0060/1.txt,1
article_0060/2.txt,1
article_0061/1.txt,1
article_0061/2.txt,1
article_0062/1.txt,1
article_0062/2.txt,1
article_0063/1.txt,1
article_0063/2.txt,1
article_0064/1.txt,1
article_0064/2.txt,0
article_0065/1.txt,1
article_0065/2.txt,1
article_0066/1.txt,1
article_0066/2.txt,1
article_0067/1.txt,0
article_0067/2.txt,1
article_0068/1.txt,1
article_0068/2.txt,1
article_0069/1.txt,1
article_0069/2.txt,1
article_0070/1.txt,1
article_0070/2.txt,0
article_0071/1.txt,1
article_0071/2.txt,1
article_0072/1.txt,1
article_0072/2.txt,0
article_0073/1.txt,0
article_0073/2.txt,0
article_0074/1.txt,1
article_0074/2.txt,1
article_0075/1.txt,1
article_0075/2.txt,0
article_0076/1.txt,1
article_0076/2.txt,1
article_0077/1.txt,1
article_0077/2.txt,1
article_0078/1.txt,1
article_0078/2.txt,1
article_0079/1.txt,1
article_0079/2.txt,0
article_0080/1.txt,1
article_0080/2.txt,1
article_0081/1.txt,1
article_0081/2.txt,1
article_0082/1.txt,1
article_0082/2.txt,1
article_0083/1.txt,1
article_0083/2.txt,0
article_0084/1.txt,1
article_0084/2.txt,1
article_0085/1.txt,1
article_0085/2.txt,1
article_0086/1.txt,1
article_0086/2.txt,1
article_0087/1.txt,1
article_0087/2.txt,0
article_0088/1.txt,1
article_0088/2.txt,0
article_0089/1.txt,0
article_0089/2.txt,1
article_0090/1.txt,1
article_0090/2.txt,1
article_0091/1.txt,1
article_0091/2.txt,1
article_0092/1.txt,0
article_0092/2.txt,1
article_0093/1.txt,1
article_0093/2.txt,0
article_0094/1.txt,1
article_0094/2.txt,1
article_0095/1.txt,1
article_0095/2.txt,1
article_0096/1.txt,1
article_0096/2.txt,1
article_0097/1.txt,1
article_0097/2.txt,0
article_0098/1.txt,1
article_0098/2.txt,1
article_0099/1.txt,1
article_0099/2.txt,1
article_0100/1.txt,1
article_0100/2.txt,1
article_0101/1.txt,1
article_0101/2.txt,1
article_0102/1.txt,1
article_0102/2.txt,1
article_0103/1.txt,0
article_0103/2.txt,1
article_0104/1.txt,0
article_0104/2.txt,1
article_0105/1.txt,1
article_0105/2.txt,1
article_0106/1.txt,1
article_0106/2.txt,1
article_0107/1.txt,1
article_0107/2.txt,1
article_0108/1.txt,1
article_0108/2.txt,1
article_0109/1.txt,1
article_0109/2.txt,1
article_0110/1.txt,0
article_0110/2.txt,1
article_0111/1.txt,0
article_0111/2.txt,1
article_0112/1.txt,1
article_0112/2.txt,1
article_0113/1.txt,1
article_0113/2.txt,1
article_0114/1.txt,1
article_0114/2.txt,1
article_0115/1.txt,1
article_0115/2.txt,1
article_0116/1.txt,1
article_0116/2.txt,1
article_0117/1.txt,1
article_0117/2.txt,1
article_0118/1.txt,1
article_0118/2.txt,1
article_0119/1.txt,1
article_0119/2.txt,1
article_0120/1.txt,1
article_0120/2.txt,1
article_0121/1.txt,1
article_0121/2.txt,1
article_0122/1.txt,1
article_0122/2.txt,0
article_0123/1.txt,0
article_0123/2.txt,1
article_0124/1.txt,0
article_0124/2.txt,1
article_0125/1.txt,1
article_0125/2.txt,1
article_0126/1.txt,1
article_0126/2.txt,1
article_0127/1.txt,1
article_0127/2.txt,1
article_0128/1.txt,1
article_0128/2.txt,1
article_0129/1.txt,1
article_0129/2.txt,1
article_0130/1.txt,0
article_0130/2.txt,1
article_0131/1.txt,0
article_0131/2.txt,1
article_0132/1.txt,1
article_0132/2.txt,1
article_0133/1.txt,1
article_0133/2.txt,1
article_0134/1.txt,1
article_0134/2.txt,1
article_0135/1.txt,0
article_0135/2.txt,1
article_0136/1.txt,1
article_0136/2.txt,1
article_0137/1.txt,1
article_0137/2.txt,1
article_0138/1.txt,1
article_0138/2.txt,0
article_0139/1.txt,1
article_0139/2.txt,0
article_0140/1.txt,1
article_0140/2.txt,1
article_0141/1.txt,1
article_0141/2.txt,1
article_0142/1.txt,0
article_0142/2.txt,0
article_0143/1.txt,1
article_0143/2.txt,1
article_0144/1.txt,1
article_0144/2.txt,1
article_0145/1.txt,0
article_0145/2.txt,1
article_0146/1.txt,1
article_0146/2.txt,1
article_0147/1.txt,1
article_0147/2.txt,1
article_0148/1.txt,0
article_0148/2.txt,1
article_0149/1.txt,1
article_0149/2.txt,1
article_0150/1.txt,1
article_0150/2.txt,1
article_0151/1.txt,1
article_0151/2.txt,0
article_0152/1.txt,0
article_0152/2.txt,1
article_0153/1.txt,1
article_0153/2.txt,1
